periodo,gasolina_comum_preco_revenda_avg,gasolina_comum_preco_revenda_min,gasolina_comum_preco_revenda_max,gasolina_aditivada_preco_revenda_avg,gasolina_aditivada_preco_revenda_min,gasolina_aditivada_preco_revenda_max,etanol_hidratado_preco_revenda_avg,etanol_hidratado_preco_revenda_min,etanol_hidratado_preco_revenda_max,oleo_diesel_preco_revenda_avg,oleo_diesel_preco_revenda_min,oleo_diesel_preco_revenda_max
2001-07-01 00:00:00,1.6814,1.379,2.0,,,,1.0093,0.639,1.58,0.8293,0.659,1.0
2001-08-01 00:00:00,1.711,1.44,2.38,,,,1.0143,0.649,1.65,0.85,0.699,1.28
2001-09-01 00:00:00,1.718,1.43,2.38,,,,1.0265,0.63,1.79,0.8602,0.729,1.28
2001-10-01 00:00:00,1.7787,1.41,2.48,,,,1.0391,0.65,1.88,0.8983,0.69,1.39
2001-11-01 00:00:00,1.7802,1.44,2.45,,,,1.0326,0.67,1.88,0.9076,0.739,1.32
2001-12-01 00:00:00,1.7747,1.38,2.45,,,,1.0289,0.67,1.88,0.9078,0.77,1.32
2002-01-01 00:00:00,1.5875,1.17,2.45,,,,1.019,0.6,1.88,0.8835,0.658,1.32
2002-02-01 00:00:00,1.5088,1.17,2.45,,,,1.0103,0.679,1.88,0.8784,0.7,1.32
2002-03-01 00:00:00,1.5739,1.239,2.45,,,,1.0102,0.659,1.7,0.8894,0.701,1.32
2002-04-01 00:00:00,1.7129,1.36,2.67,,,,1.0095,0.659,1.7,0.9583,0.71,1.39
2002-05-01 00:00:00,1.7219,1.37,2.67,,,,1.0017,0.659,1.7,0.9762,0.799,1.39
2002-06-01 00:00:00,1.7107,1.369,2.67,,,,0.9908,0.537,1.7,0.988,0.81,1.39
2002-07-01 00:00:00,1.7668,1.309,2.67,,,,0.94,0.5,1.7,1.0636,0.82,1.39
2002-08-01 00:00:00,1.7508,1.39,2.47,,,,0.9122,0.539,1.7,1.0682,0.718,1.4
2002-09-01 00:00:00,1.7424,1.37,2.45,,,,0.9349,0.589,1.7,1.0663,0.899,1.39
2002-10-01 00:00:00,1.761,1.35,2.45,,,,1.0136,0.649,1.7,1.0678,0.88,1.39
2002-11-01 00:00:00,1.9776,1.49,2.74,,,,1.2984,0.83,1.87,1.2636,0.9,1.69
2002-12-01 00:00:00,2.0005,1.59,2.95,,,,1.3133,0.799,1.97,1.3919,0.999,1.94
2003-01-01 00:00:00,2.1599,1.699,2.95,,,,1.3855,0.939,1.984,1.5273,1.2,1.94
2003-02-01 00:00:00,2.2233,1.739,2.95,,,,1.5689,1.099,2.49,1.5391,1.32,1.94
2003-03-01 00:00:00,2.2152,1.79,2.95,,,,1.5856,1.13,2.6,1.5365,1.299,1.94
2003-04-01 00:00:00,2.195,1.72,2.95,,,,1.5616,1.087,2.6,1.5294,1.25,1.94
2003-05-01 00:00:00,2.1133,1.749,2.85,,,,1.5058,0.899,2.6,1.4555,1.23,1.9
2003-06-01 00:00:00,2.026,1.669,2.86,,,,1.348,0.69,2.6,1.4287,1.039,1.98
2003-07-01 00:00:00,1.9708,1.62,2.85,,,,1.2033,0.679,2.55,1.4156,1.149,1.98
2003-08-01 00:00:00,1.9751,1.63,2.85,,,,1.2079,0.72,2.55,1.4081,1.2,1.9
2003-09-01 00:00:00,2.0032,1.64,2.85,,,,1.2331,0.729,2.4,1.4008,1.148,1.9
2003-10-01 00:00:00,1.9974,1.62,2.85,,,,1.2006,0.69,2.4,1.3954,1.178,1.9
2003-11-01 00:00:00,1.9931,1.62,2.85,,,,1.1759,0.69,2.4,1.3914,1.09,1.93
2003-12-01 00:00:00,1.9984,1.61,2.85,,,,1.1911,0.749,2.4,1.39,1.19,1.9
2004-01-01 00:00:00,2.007,1.61,2.85,,,,1.2052,0.73,2.4,1.3929,1.21,1.9
2004-02-01 00:00:00,2.0025,1.61,2.85,,,,1.1701,0.559,2.4,1.3922,1.21,1.9
2004-03-01 00:00:00,1.9813,1.559,2.85,,,,1.0545,0.499,2.4,1.3895,1.199,1.9
2004-04-01 00:00:00,1.9715,1.56,2.85,,,,1.0315,0.559,2.4,1.3867,1.134,1.9
2004-05-01 00:00:00,2.086,1.529,2.85,,,,1.289,0.59,2.4,1.44,1.18,1.9
2004-06-01 00:00:00,2.157,1.56,2.89,,,,1.359,0.669,2.4,1.494,1.15,1.99
2004-07-01 00:00:00,2.203,1.59,3.0,,,,1.381,0.699,2.4,1.547,1.288,2.05
2004-08-01 00:00:00,2.226,1.69,3.0,,,,1.462,0.69,2.32,1.548,1.29,2.05
2004-09-01 00:00:00,2.232,1.69,3.0,,,,1.487,0.81,2.25,1.548,1.29,2.05
2004-10-01 00:00:00,2.262,1.69,3.1,,,,1.534,0.869,2.484,1.58,1.29,2.15
2004-11-01 00:00:00,2.214,1.709,3.1,,,,1.445,0.99,2.372,1.591,1.339,2.15
2004-12-01 00:00:00,2.303,1.849,3.1,,,,1.478,1.05,2.372,1.692,1.429,2.15
2005-01-01 00:00:00,2.296,1.87,3.22,,,,1.46,0.979,2.372,1.69,1.46,2.37
2005-02-01 00:00:00,2.285,1.92,3.22,,,,1.448,0.99,2.372,1.687,1.399,2.37
2005-03-01 00:00:00,2.291,1.94,3.22,,,,1.444,0.99,2.372,1.684,1.129,2.37
2005-04-01 00:00:00,2.302,1.929,3.2,,,,1.451,0.999,2.372,1.683,1.46,2.35
2005-05-01 00:00:00,2.283,1.845,3.2,,,,1.354,0.76,2.385,1.697,1.46,2.35
2005-06-01 00:00:00,2.256,1.698,3.2,,,,1.21,0.759,2.385,1.695,1.45,2.35
2005-07-01 00:00:00,2.267,1.88,3.2,,,,1.256,0.82,2.385,1.694,1.46,2.35
2005-08-01 00:00:00,2.273,1.889,3.2,,,,1.271,0.799,2.385,1.694,1.3,2.35
2005-09-01 00:00:00,2.401,1.89,3.6,,,,1.308,0.87,2.399,1.83,1.44,2.5
2005-10-01 00:00:00,2.47,1.979,3.37,,,,1.434,0.949,2.372,1.885,1.34,2.79
2005-11-01 00:00:00,2.478,1.87,3.3,,,,1.45,1.09,2.41,1.888,1.599,2.63
