referencia,ano,mes,regiao,estado,gasolina_comum_preco_revenda_avg,gasolina_comum_preco_revenda_min,gasolina_comum_preco_revenda_max,gasolina_aditivada_preco_revenda_avg,gasolina_aditivada_preco_revenda_min,gasolina_aditivada_preco_revenda_max,etanol_hidratado_preco_revenda_avg,etanol_hidratado_preco_revenda_min,etanol_hidratado_preco_revenda_max,oleo_diesel_preco_revenda_avg,oleo_diesel_preco_revenda_min,oleo_diesel_preco_revenda_max,oleo_diesel_s10_preco_revenda_avg,oleo_diesel_s10_preco_revenda_min,oleo_diesel_s10_preco_revenda_max,gas_cozinha_glp_preco_revenda_avg,gas_cozinha_glp_preco_revenda_min,gas_cozinha_glp_preco_revenda_max,gas_natural_veicular_gnv_preco_revenda_avg,gas_natural_veicular_gnv_preco_revenda_min,gas_natural_veicular_gnv_preco_revenda_max
2001-07,2001,07,NORTE,ACRE,1.8254,1.68,1.901,,,,1.332,1.2,1.39,0.874,0.836,0.889,,,,17.9242,16.7,19.0,,,
2001-07,2001,07,NORDESTE,ALAGOAS,1.666,1.52,1.858,,,,1.0225,0.88,1.3,0.8415,0.794,0.88,,,,16.8622,15.0,18.0,0.7426,0.708,0.758
2001-07,2001,07,NORTE,AMAPA,1.8367,1.69,1.881,,,,1.331,0.881,1.43,0.8697,0.82,0.884,,,,17.3046,13.89,18.5,,,
2001-07,2001,07,NORTE,AMAZONAS,1.8239,1.49,1.882,,,,1.2201,1.12,1.39,0.8222,0.77,0.86,,,,14.5864,13.5,17.0,,,
2001-07,2001,07,NORDESTE,BAHIA,1.7145,1.45,1.95,,,,1.1533,0.837,1.58,0.8416,0.713,0.98,,,,14.76,12.4,17.01,0.7261,0.699,0.73
2001-07,2001,07,NORDESTE,CEARA,1.7144,1.55,1.93,,,,1.1626,1.005,1.39,0.9232,0.824,1.0,,,,14.7376,12.39,21.9,0.7362,0.699,0.749
2001-07,2001,07,CENTRO OESTE,DISTRITO FEDERAL,1.6475,1.535,1.749,,,,1.1753,1.1,1.23,0.8138,0.768,0.84,,,,17.7731,16.4,20.0,,,
2001-07,2001,07,SUDESTE,ESPIRITO SANTO,1.6905,1.58,1.799,,,,1.1785,1.15,1.2,0.8419,0.78,0.856,,,,19.5481,18.0,22.0,,,
2001-07,2001,07,CENTRO OESTE,GOIAS,1.6311,1.45,1.86,,,,0.9767,0.809,1.49,0.8718,0.787,0.903,,,,17.3052,15.5,19.3,,,
2001-07,2001,07,NORDESTE,MARANHAO,1.7153,1.47,1.892,,,,1.198,0.838,1.4,0.8248,0.755,0.883,,,,15.6955,13.93,17.0,,,
2001-07,2001,07,CENTRO OESTE,MATO GROSSO,1.743,1.55,1.92,,,,1.0329,0.807,1.29,0.905,0.846,0.96,,,,22.3649,18.0,24.5,,,
2001-07,2001,07,CENTRO OESTE,MATO GROSSO DO SUL,1.7476,1.54,1.899,,,,1.1288,0.999,1.3,0.8682,0.77,0.899,,,,19.6206,14.7,22.0,,,
2001-07,2001,07,SUDESTE,MINAS GERAIS,1.6472,1.39,1.94,,,,1.0298,0.75,1.405,0.8409,0.759,0.95,,,,18.016,12.0,24.0,0.7117,0.679,0.719
2001-07,2001,07,NORTE,PARA,1.8597,1.65,2.0,,,,1.3055,1.17,1.49,0.8359,0.791,0.869,,,,14.9579,13.5,16.5,,,
2001-07,2001,07,NORDESTE,PARAIBA,1.7294,1.61,1.82,,,,1.1289,0.99,1.19,0.8514,0.799,0.88,,,,17.3948,15.5,18.2,0.675,0.625,0.725
2001-07,2001,07,SUL,PARANA,1.6613,1.379,1.864,,,,0.8967,0.677,1.1,0.8032,0.719,0.87,,,,19.1657,16.5,23.0,,,
2001-07,2001,07,NORDESTE,PERNAMBUCO,1.7322,1.46,1.89,,,,1.0567,0.79,1.35,0.8563,0.77,0.899,,,,16.3937,14.75,18.5,0.7491,0.72,0.759
2001-07,2001,07,NORDESTE,PIAUI,1.8015,1.68,1.88,,,,1.2613,1.19,1.3,0.861,0.81,0.87,,,,16.5018,15.0,17.0,,,
2001-07,2001,07,SUDESTE,RIO DE JANEIRO,1.6757,1.42,1.99,,,,1.0078,0.699,1.39,0.797,0.72,0.899,,,,18.1247,13.99,21.0,0.721,0.509,0.759
2001-07,2001,07,NORDESTE,RIO GRANDE DO NORTE,1.6971,1.56,1.83,,,,1.1421,1.05,1.3,0.8381,0.79,0.958,,,,16.9219,15.3,20.0,0.7085,0.68,0.718
2001-07,2001,07,SUL,RIO GRANDE DO SUL,1.7022,1.4,1.95,,,,1.1517,0.743,1.45,0.7799,0.729,0.97,,,,18.7182,16.3,21.5,0.781,0.781,0.781
