referencia,ano,mes,regiao,gasolina_comum_preco_revenda_avg,gasolina_comum_preco_revenda_min,gasolina_comum_preco_revenda_max,gasolina_aditivada_preco_revenda_avg,gasolina_aditivada_preco_revenda_min,gasolina_aditivada_preco_revenda_max,etanol_hidratado_preco_revenda_avg,etanol_hidratado_preco_revenda_min,etanol_hidratado_preco_revenda_max,oleo_diesel_preco_revenda_avg,oleo_diesel_preco_revenda_min,oleo_diesel_preco_revenda_max,oleo_diesel_s10_preco_revenda_avg,oleo_diesel_s10_preco_revenda_min,oleo_diesel_s10_preco_revenda_max,gas_cozinha_glp_preco_revenda_avg,gas_cozinha_glp_preco_revenda_min,gas_cozinha_glp_preco_revenda_max,gas_natural_veicular_gnv_preco_revenda_avg,gas_natural_veicular_gnv_preco_revenda_min,gas_natural_veicular_gnv_preco_revenda_max
2001-07,2001,07,CENTRO OESTE,1.6814,1.45,1.92,,,,1.0885,0.807,1.49,0.8609,0.768,0.96,,,,19.481,14.7,24.5,,,
2001-07,2001,07,NORDESTE,1.7178,1.45,1.95,,,,1.1212,0.79,1.58,0.862,0.713,1.0,,,,15.7015,12.39,21.9,0.7361,0.625,0.759
2001-07,2001,07,NORTE,1.8282,1.49,2.0,,,,1.2626,0.881,1.49,0.859,0.77,0.971,,,,15.6911,13.33,20.6,,,
2001-07,2001,07,SUDESTE,1.6507,1.379,1.99,,,,0.9352,0.639,1.405,0.8124,0.659,0.95,,,,18.2957,12.0,24.0,0.7285,0.509,0.799
2001-07,2001,07,SUL,1.6833,1.379,1.95,,,,1.0171,0.677,1.45,0.7926,0.719,0.97,,,,19.2654,16.3,23.0,0.781,0.781,0.781
2001-08,2001,08,CENTRO OESTE,1.7208,1.5,2.05,,,,1.0836,0.74,1.406,0.8935,0.77,0.992,,,,20.237,14.5,25.0,,,
2001-08,2001,08,NORDESTE,1.741,1.44,1.96,,,,1.1384,0.7,1.58,0.8937,0.789,1.0,,,,16.0964,12.5,21.9,0.7458,0.718,0.781
2001-08,2001,08,NORTE,1.8747,1.55,2.38,,,,1.2721,1.08,1.65,0.8917,0.779,1.28,,,,16.0827,13.35,27.0,0.759,0.759,0.759
2001-08,2001,08,SUDESTE,1.6833,1.47,1.99,,,,0.9354,0.669,1.499,0.8315,0.699,0.999,,,,18.3429,13.5,23.0,0.7392,0.699,0.799
2001-08,2001,08,SUL,1.7223,1.45,2.058,,,,1.0621,0.649,1.59,0.8145,0.73,0.99,,,,19.6513,14.0,25.0,,,
2001-09,2001,09,CENTRO OESTE,1.73,1.43,2.1,,,,1.0795,0.79,1.37,0.91,0.77,1.0,,,,19.6383,14.8,25.0,,,
2001-09,2001,09,NORDESTE,1.7367,1.44,1.98,,,,1.1465,0.7,1.58,0.9023,0.8,1.0,,,,16.2486,12.5,29.0,0.7458,0.718,0.759
2001-09,2001,09,NORTE,1.8948,1.59,2.38,,,,1.2908,0.875,1.79,0.9111,0.77,1.28,,,,16.4203,13.0,29.0,,,
2001-09,2001,09,SUDESTE,1.6852,1.43,1.999,,,,0.9488,0.63,1.49,0.8426,0.739,0.999,,,,18.1563,13.0,23.0,0.7389,0.699,0.799
2001-09,2001,09,SUL,1.7423,1.469,2.058,,,,1.0767,0.64,1.45,0.8273,0.729,0.969,,,,19.7194,14.9,26.0,,,
2001-10,2001,10,CENTRO OESTE,1.8018,1.41,2.15,,,,1.0996,0.799,1.47,0.9467,0.793,1.08,,,,20.4323,14.5,27.0,,,
2001-10,2001,10,NORDESTE,1.808,1.5,2.14,,,,1.1539,0.7,1.58,0.9405,0.73,1.07,,,,17.1411,12.0,21.0,0.7685,0.717,0.799
2001-10,2001,10,NORTE,1.9543,1.59,2.48,,,,1.2946,0.92,1.88,0.9586,0.79,1.39,,,,17.1844,14.0,30.5,,,
